Year,Exponential Smoothing,Linear Regression,Prophet
2024,21369.19523,23151.84313,21222.613
2025,20572.6881,22814.82947,21282.2606
2026,20304.89839,22477.81582,20620.04563
2027,19771.49274,22140.80216,20082.15955
2028,19729.30814,21803.7885,19668.63815
2029,18932.80101,21466.77485,19728.28575
2030,18665.01129,21129.76119,19066.07078
2031,18131.60564,20792.74753,18528.1847
2032,18089.42104,20455.73388,18114.6633
2033,17292.91391,20118.72022,18174.31091
2034,17025.1242,19781.70656,17512.09593
2035,16491.71855,19444.6929,16974.20985
2036,16449.53394,19107.67925,16560.68845
2037,15653.02681,18770.66559,16620.33606
2038,15385.2371,18433.65193,15958.12109
2039,14851.83145,18096.63828,15420.235
2040,14809.64685,17759.62462,15006.7136
2041,14013.13972,17422.61096,15066.36121
2042,13745.35,17085.59731,14404.14624
2043,13211.94435,16748.58365,13866.26015
2044,13169.75975,16411.56999,13452.73875
2045,12373.25262,16074.55634,13512.38636
2046,12105.46291,15737.54268,12850.17139
2047,11572.05726,15400.52902,12312.2853
2048,11529.87265,15063.51537,11898.7639
2049,10733.36552,14726.50171,11958.41151
2050,10465.57581,14389.48805,11296.19654
