Year,Exponential Smoothing,SARIMA,Auto ARIMA
2023,7347.726605,7358.776312,7271.66184
2024,7537.646119,7539.556707,7401.77132
2025,7539.165535,7536.11621,7535.087362
2026,7628.344838,7686.54463,7667.421577
2027,7844.974517,7905.894405,7800.056421
2028,8034.894031,8093.962875,7932.599215
2029,8036.413447,8089.437252,8065.170193
2030,8125.59275,8243.018086,8197.732542
2031,8342.222429,8461.38448,8330.297533
2032,8532.141943,8650.071418,8462.861715
2033,8533.661359,8645.34809,8595.426145
2034,8622.840661,8799.137355,8727.990499
2035,8839.470341,9017.425398,8860.554876
2036,9029.389855,9206.156574,8993.119246
2037,9030.909271,9201.416028,9125.683618
2038,9120.088573,9355.218481,9258.247989
2039,9336.718252,9573.501068,9390.812361
2040,9526.637767,9762.235167,9523.376733
2041,9528.157183,9757.493377,9655.941104
2042,9617.336485,9911.296642,9788.505476
2043,9833.966164,10129.57887,9921.069848
2044,10023.88568,10318.31316,10053.63422
2045,10025.4051,10313.57129,10186.19859
2046,10114.5844,10467.3746,10318.76296
2047,10331.21408,10685.65681,10451.32733
2048,10521.13359,10874.3911,10583.89171
2049,10522.65301,10869.64923,10716.45608
2050,10611.83231,11023.45254,10849.02045
