Year,Linear Regression,Prophet,Exponential Smoothing
2023,29883.93018,29063.45288,30833.09254
2024,30137.79604,29316.19705,30671.32122
2025,30391.6619,29480.9756,30740.27875
2026,30645.52776,29660.65614,31533.15513
2027,30899.39362,29876.89725,32080.95311
2028,31153.25948,30129.64142,31919.18179
2029,31407.12534,30294.41997,31988.13932
2030,31660.9912,30474.10052,32781.0157
2031,31914.85706,30690.34162,33328.81368
2032,32168.72292,30943.0858,33167.04236
2033,32422.58878,31107.86435,33235.99989
2034,32676.45464,31287.54489,34028.87627
2035,32930.3205,31503.786,34576.67425
2036,33184.18636,31756.53017,34414.90293
2037,33438.05222,31921.30872,34483.86046
2038,33691.91808,32100.98927,35276.73684
2039,33945.78394,32317.23037,35824.53481
2040,34199.64981,32569.97455,35662.7635
2041,34453.51567,32734.7531,35731.72102
2042,34707.38153,32914.43364,36524.59741
2043,34961.24739,33130.67475,37072.39538
2044,35215.11325,33383.41892,36910.62406
2045,35468.97911,33548.19747,36979.58159
2046,35722.84497,33727.87802,37772.45798
2047,35976.71083,33944.11912,38320.25595
2048,36230.57669,34196.8633,38158.48463
2049,36484.44255,34361.64185,38227.44216
2050,36738.30841,34541.32239,39020.31855
