Year,ARIMA,Auto ARIMA,Prophet
2023,27852.2829,27532.53739,28286.74609
2024,27892.18803,27825.59541,28362.14436
2025,27896.7734,27303.6869,29245.58469
2026,27897.30029,27484.67235,29295.97931
2027,27897.36083,27710.18031,29358.74983
2028,27897.36779,27489.26565,29434.1481
2029,27897.36859,27882.69368,30317.58843
2030,27897.36868,27746.2622,30367.98305
2031,27897.36869,27576.26851,30430.75356
2032,27897.36869,27742.79966,30506.15184
2033,27897.36869,27446.22351,31389.59216
2034,27897.36869,27549.06906,31439.98679
2035,27897.36869,27677.21466,31502.7573
2036,27897.36869,27551.67921,31578.15558
2037,27897.36869,27775.24593,32461.5959
2038,27897.36869,27697.71831,32511.99052
2039,27897.36869,27601.11886,32574.76104
2040,27897.36869,27695.75071,32650.15931
2041,27897.36869,27527.22038,33533.59964
2042,27897.36869,27585.66269,33583.99426
2043,27897.36869,27658.48183,33646.76478
2044,27897.36869,27587.14592,33722.16305
2045,27897.36869,27714.18841,34605.60338
2046,27897.36869,27670.13309,34655.998
2047,27897.36869,27615.24015,34718.76851
2048,27897.36869,27669.015,34794.16679
2049,27897.36869,27573.24711,35677.60711
2050,27897.36869,27606.45713,35728.00174
