Year,ARIMA,Exponential Smoothing,SARIMA
2023,247.93,248.04,248.12
2024,256.46,257.05,257.24
2025,264.9,265.95,265.96
2026,273.25,274.66,274.54
2027,281.52,283.4,283.16
2028,289.69,292.41,292.05
2029,297.78,301.31,300.79
2030,305.78,310.02,309.36
2031,313.69,318.75,317.95
2032,321.52,327.77,326.83
2033,329.27,336.66,335.57
2034,336.93,345.38,344.13
2035,344.51,354.11,352.72
2036,352.01,363.13,361.59
2037,359.43,372.02,370.32
2038,366.77,380.74,378.88
2039,374.03,389.47,387.46
2040,381.21,398.49,396.33
2041,388.32,407.38,405.06
2042,395.35,416.09,413.61
2043,402.3,424.83,422.19
2044,409.18,433.85,431.05
2045,415.99,442.74,439.77
2046,422.72,451.45,448.32
2047,429.39,460.19,456.89
2048,435.98,469.21,465.75
2049,442.5,478.1,474.47
2050,448.95,486.81,483.01
