Year,Prophet,SARIMA,Auto ARIMA
2023,36229.25103,40403.68,40199.69
2024,36823.063,40631.91,40687.91
2025,37389.69676,40807.27,41176.14
2026,37984.65071,41660.64,41664.36
2027,38579.05977,42101.98,42152.59
2028,39172.87175,42578.05,42640.82
2029,39739.5055,43036.84,43129.04
2030,40334.45945,43657.69,43617.27
2031,40928.86851,44125.76,44105.49
2032,41522.68049,44578.96,44593.72
2033,42089.31424,45011.52,45081.94
2034,42684.26819,45653.89,45570.17
2035,43278.67725,46119.48,46058.4
2036,43872.48923,46574.8,46546.62
2037,44439.12298,47009.78,47034.85
2038,45034.07694,47650.16,47523.07
2039,45628.486,48115.98,48011.3
2040,46222.29797,48571.1,48499.52
2041,46788.93172,49005.86,48987.75
2042,47383.88568,49646.43,49475.97
2043,47978.29474,50112.23,49964.2
2044,48572.10671,50567.37,50452.43
2045,49138.74047,51002.14,50940.65
2046,49733.69442,51642.69,51428.88
2047,50328.10348,52108.49,51917.1
2048,50921.91546,52563.63,52405.33
2049,51488.54921,52998.41,52893.55
2050,52083.50316,53638.96,53381.78
