Year,SARIMA,Exponential Smoothing,Auto ARIMA
2023,26294.75,28234.94,25501.86
2024,26944.6,29185.98,25747.83
2025,26836.26,29086,25993.81
2026,26399.13,29814.6,26239.78
2027,27426.44,31466.54,26485.75
2028,27831.6,32417.58,26731.72
2029,27962.06,32317.6,26977.69
2030,27814.06,33046.2,27223.67
2031,28626.57,34698.14,27469.64
2032,28980.26,35649.18,27715.61
2033,29160.94,35549.2,27961.58
2034,29073.75,36277.8,28207.56
2035,29841.08,37929.74,28453.53
2036,30183.96,38880.78,28699.5
2037,30375.2,38780.8,28945.47
2038,30300.79,39509.4,29191.45
2039,31058.62,41161.35,29437.42
2040,31399.22,42112.38,29683.39
2041,31592.68,42012.4,29929.36
2042,31520.96,42741,30175.34
2043,32276.8,44392.95,30421.31
2044,32616.92,45343.98,30667.28
2045,32810.85,45244,30913.25
2046,32739.69,45972.6,31159.22
2047,33495.11,47624.55,31405.2
2048,33835.13,48575.58,31651.17
2049,34029.16,48475.6,31897.14
2050,33958.12,49204.2,32143.11
