Year,Prophet,Linear Regression,SARIMA
2023,324.5848348,325.6294403,302.15
2024,314.0197334,332.4073476,350.71
2025,348.1597445,339.1852549,369.58
2026,353.9873996,345.9631621,347.75
2027,351.6129434,352.7410694,332.04
2028,341.047842,359.5189766,380.29
2029,375.1878531,366.2968839,396.12
2030,381.0155082,373.0747911,374.92
2031,378.6410519,379.8526984,359.1
2032,368.0759506,386.6306057,407.38
2033,402.2159617,393.4085129,423.39
2034,408.0436168,400.1864202,402.16
2035,405.6691605,406.9643274,386.34
2036,395.1040592,413.7422347,434.62
2037,429.2440703,420.5201419,450.62
2038,435.0717254,427.2980492,429.39
2039,432.6972691,434.0759565,413.57
2040,422.1321678,440.8538637,461.84
2041,456.2721789,447.631771,477.85
2042,462.099834,454.4096782,456.62
2043,459.7253777,461.1875855,440.8
2044,449.1602764,467.9654927,489.08
2045,483.3002875,474.7434,505.08
2046,489.1279426,481.5213073,483.85
2047,486.7534863,488.2992145,468.04
2048,476.188385,495.0771218,516.31
2049,510.3283961,501.855029,532.31
2050,516.1560512,508.6329363,511.08
