Year,SARIMA,Prophet,Linear Regression
2023,218881.42,216131.913,210113.5796
2024,227303.74,223312.8945,215157.0306
2025,229360.19,227503.8584,220200.4816
2026,226953.04,232761.2115,225243.9326
2027,238952.85,238980.3103,230287.3836
2028,247519.41,246161.2918,235330.8346
2029,250281.15,250352.2558,240374.2856
2030,246339.86,255609.6088,245417.7366
2031,258169.05,261828.7077,250461.1876
2032,266660.18,269009.6891,255504.6386
2033,269053.07,273200.6531,260548.0896
2034,265914.1,278458.0061,265591.5406
2035,277832.52,284677.105,270634.9916
2036,286363.1,291858.0865,275678.4426
2037,288948.89,296049.0505,280721.8936
2038,285390.33,301306.4035,285765.3446
2039,297262.08,307525.5023,290808.7956
2040,305772.02,314706.4838,295852.2466
2041,308256.93,318897.4478,300895.6976
2042,304917.81,324154.8008,305939.1485
2043,316813.97,330373.8997,310982.5995
2044,325334.7,337554.8812,316026.0505
2045,327872.37,341745.8451,321069.5015
2046,324418.49,347003.1982,326112.9525
2047,336301.89,353222.297,331156.4035
2048,344816.98,360403.2785,336199.8545
2049,347327.05,364594.2425,341243.3055
2050,343933.19,369851.5955,346286.7565
