Year,Exponential Smoothing,Auto ARIMA,SARIMA
2023,15.67,16.04,15.7
2024,16.15,16.21,16.17
2025,16.29,16.4,16.34
2026,16.53,16.57,16.57
2027,16.37,16.76,16.43
2028,16.85,16.94,16.9
2029,16.99,17.12,17.05
2030,17.23,17.3,17.28
2031,17.08,17.48,17.14
2032,17.56,17.66,17.62
2033,17.7,17.84,17.76
2034,17.93,18.03,18
2035,17.78,18.21,17.86
2036,18.26,18.39,18.33
2037,18.4,18.57,18.48
2038,18.64,18.75,18.71
2039,18.49,18.93,18.57
2040,18.96,19.11,19.05
2041,19.1,19.29,19.19
2042,19.34,19.47,19.43
2043,19.19,19.66,19.29
2044,19.67,19.84,19.76
2045,19.81,20.02,19.91
2046,20.05,20.2,20.14
2047,19.89,20.38,20
2048,20.37,20.56,20.48
2049,20.51,20.74,20.62
2050,20.75,20.92,20.86
