Year,ARIMA,SARIMA,Exponential Smoothing
2023,18.54,19.4,19.59
2024,18.54,19.59,19.74
2025,18.54,19.65,19.76
2026,18.54,19.74,19.85
2027,18.54,20.3,20.43
2028,18.54,20.44,20.58
2029,18.54,20.5,20.6
2030,18.54,20.59,20.69
2031,18.54,21.14,21.27
2032,18.54,21.29,21.42
2033,18.54,21.34,21.44
2034,18.54,21.43,21.53
2035,18.54,21.99,22.11
2036,18.54,22.13,22.26
2037,18.54,22.19,22.28
2038,18.54,22.28,22.37
2039,18.54,22.83,22.95
2040,18.54,22.98,23.1
2041,18.54,23.03,23.12
2042,18.54,23.12,23.21
2043,18.54,23.68,23.79
2044,18.54,23.83,23.94
2045,18.54,23.88,23.96
2046,18.54,23.97,24.05
2047,18.54,24.52,24.63
2048,18.54,24.67,24.78
2049,18.54,24.72,24.8
2050,18.54,24.81,24.89
