Year,Auto ARIMA,ARIMA,SARIMA
2023,3606.87,3552.04,3628.63
2024,3652.36,3553.77,3638.84
2025,3704.61,3553.34,3691.72
2026,3745.46,3553.45,3750.33
2027,3784.23,3553.42,3803.54
2028,3823.5,3553.43,3812.39
2029,3861.34,3553.42,3851.99
2030,3901.59,3553.42,3906.68
2031,3942.27,3553.42,3962.98
2032,3982.86,3553.42,3972.09
2033,4023.74,3553.42,4014.18
2034,4064.11,3553.42,4069.61
2035,4104.4,3553.42,4125.33
2036,4144.7,3553.42,4134.39
2037,4184.94,3553.42,4176.01
2038,4225.29,3553.42,4231.3
2039,4265.66,3553.42,4287.13
2040,4306.02,3553.42,4296.2
2041,4346.4,3553.42,4337.91
2042,4386.75,3553.42,4393.22
2043,4427.1,3553.42,4449.03
2044,4467.45,3553.42,4458.1
2045,4507.8,3553.42,4499.8
2046,4548.15,3553.42,4555.1
2047,4588.51,3553.42,4610.92
2048,4628.86,3553.42,4619.98
2049,4669.21,3553.42,4661.69
2050,4709.57,3553.42,4716.99
